names,ra,dec,index
11UMIB,229.2745392,71.82390194,0
BD+48738B,40.71026792,49.58696639,1
BD+48740B,40.74257583,48.9300625,2
BD+49828B,45.6405675,49.72998972,3
GJ3942B,242.2630879,52.94387722,4
HAT-P-13B,129.8825304,47.35202083,5
HAT-P-13C,129.8825304,47.35202083,6
HAT-P-14B,260.1161592,38.24219694,7
HAT-P-15B,66.24806125,39.46064222,8
HAT-P-16B,9.57316,42.46311556,9
HAT-P-21B,171.2749408,41.02796361,10
HAT-P-29B,33.13116,51.77876722,11
HAT-P-32B,31.04282292,46.68783611,12
HAT-P-33B,113.1842375,33.83503278,13
HAT-P-36B,188.2662754,44.9153325,14
HAT-P-37B,284.2960675,51.26912472,15
HAT-P-40B,335.5128646,45.45736528,16
HAT-P-44B,213.1440475,47.01473472,17
HAT-P-44C,213.1440475,47.01473472,18
HAT-P-4B,229.9913354,36.22964917,19
HAT-P-53B,21.87110208,38.9681275,20
HAT-P-56B,100.8480529,27.25228111,21
HAT-P-5B,274.4054696,36.62143556,22
HAT-P-66B,150.5726946,53.95088917,23
HAT-P-67B,256.6106704,44.77696306,24
HAT-P-6B,354.7742087,42.46597306,25
HAT-P-8B,343.0410979,35.44711278,26
HAT-P-9B,110.1685675,37.14065056,27
HD116029C,200.1647592,24.64869694,28
HD118203B,203.5105808,53.72852722,29
HD125390B,214.5388258,38.96698194,30
HD132563B,224.588065,44.04329444,31
HD136418B,229.7757583,41.73320611,32
HD148284B,246.4517325,30.26512667,33
HD17092B,41.5921575,49.65308167,34
HD216536B,343.26655,44.47774306,35
HD217850B,345.6528179,58.8759825,36
HD219415B,348.7242642,56.73032444,37
HD220842B,351.6541183,56.886525,38
HD233604B,137.4533696,53.56823028,39
HD238914B,279.5842429,59.25385972,40
HD240210B,347.6217763,57.02945194,41
HD240237B,348.925935,58.04324167,42
HD2952B,8.293310417,54.894985,43
HD80606B,140.6565704,50.60373167,44
HD81688B,142.16662,45.60148194,45
HD95127B,164.8961992,43.81446306,46
HD96127B,166.4414538,44.30155833,47
HD99706B,172.1258904,43.96657917,48
HD99706C,172.1258904,43.96657917,49
KELT-12B,267.6404912,36.57022306,50
KELT-16B,314.2684942,31.66100806,51
KELT-18B,216.5239892,59.44424667,52
KELT-1B,0.36215375,39.38382833,53
KELT-21B,304.8000204,32.581045,54
KELT-3B,148.6432792,40.38804944,55
KELT-4AB,157.0625525,25.57318889,56
KELT-6B,195.9818617,30.6400775,57
KELT-6C,195.9818617,30.6400775,58
KELT-7B,78.29553625,33.3181675,59
KELT-9B,307.8598058,39.93882361,60
KEPLER-1253B,283.8851571,47.63723444,61
KEPLER-163B,295.0028071,46.98735778,62
KEPLER-225B,292.1940092,47.45710111,63
KEPLER-332B,286.6629517,47.41371889,64
KEPLER-364B,281.5699604,47.39868056,65
KEPLER-526B,297.6509354,47.39627611,66
KEPLER-589B,280.64138,47.75194806,67
KEPLER-981B,289.2489025,47.65009833,68
KPS-1B,165.1674254,64.96398472,69
TRES-3B,268.0292438,37.54617694,70
TRES-4B,268.3043729,37.21226056,71
TRES-5B,305.2218679,59.44877056,72
WASP-113B,224.872825,46.96013333,73
WASP-12B,97.6366525,29.67229611,74
WASP-13B,140.1029762,33.88241639,75
WASP-148B,254.1305829,44.3026525,76
WASP-150B,264.26305,53.02124472,77
WASP-153B,279.2624233,40.01868944,78
WASP-48B,291.1623396,55.4731475,79
WASP-56B,183.3662117,23.05567472,80
WASP-58B,274.7010542,45.17201639,81
WASP-92B,246.6920779,51.04108111,82
WASP-93B,9.458791667,51.28876639,83
WTS-1B,293.9850413,36.29633222,84
WTS-2B,293.7327779,36.81551306,85
XO-3B,65.46960167,57.81719222,86
XO-4B,110.3881675,58.26808639,87
XO-5B,116.7165063,39.09457222,88